symbol,hv20,hv50,hv100,date,cur_iv,days_percentile,close
$BKX,18,22,366,230824,41.71,453/ 96%ile,80.04
$DJX,10,10,10,230825,13.00,567/  9%ile,343.47
$HGX,21,20,20,230123,29.57,366/ 44%ile,534.09
$OEX,13,12,12,221202,18.98,120/ 85%ile,2060.44
$OSX,16,23,30,221122,52.05,194/ 48%ile,89.84
$SPX,12,11,11,230825,14.94,600/ 28%ile,4405.70
$UTY,13,15,15,221209,25.06,381/ 93%ile,813.61
$VIX,98,82,86,230825,82.16,600/ 24%ile,15.68
$XAU,26,28,27,221212,43.12,290/ 72%ile,114.40
$XDA,9,11,11,230825,13.01,566/ 81%ile,64.10
$XDB,4.9,7,7,230825,9.09,564/  6%ile,125.86
$XDC,3.7,5,6,230825,7.91,571/ 35%ile,73.49
$XDE,4.2,7,7,230825,10.30,581/ 44%ile,107.99
$XDN,8,10,9,230825,17.02,586/ 74%ile,68.30
$XDS,4.7,8,8,230825,12.98,584/ 62%ile,113.06
$XDZ,8,10,11,230825,11.88,220/ 61%ile,59.06
$XSP,11,11,11,230825,12.85,598/ 22%ile,440.50
@BOF,28,38,34,230825,28.34,588/ 30%ile,62.59
@BOH,27,37,33,230825,27.70,588/ 19%ile,61.78
@BOK,26,36,31,230825,27.36,588/ 10%ile,61.17
@BON,53,47,41,230825,28.19,590/ 18%ile,60.52
@BOQ,17,37,35,230714,41.18,588/ 94%ile,67.64
@BOU,29,38,35,230818,29.52,588/ 43%ile,65.54
@BOV,29,39,35,230825,30.83,587/ 50%ile,64.90
@BOZ,29,39,34,230825,29.10,594/ 30%ile,63.36
@BZF,18,22,27,230825,25.41,598/  9%ile,83.16
@BZG,17,21,26,230825,25.25,570/ 14%ile,82.75
@BZH,17,21,26,230825,26.53,590/ 17%ile,82.35
@BZJ,17,20,30,230222,7.90,577/  2%ile,83.89
@BZK,16,20,30,230330,4.14,589/  0%ile,79.74
@BZM,16,26,30,230825,25.21,508/  7%ile,81.27
@BZN,42,34,34,230608,100.95,498/ 99%ile,72.68
@BZU,15,26,30,230728,2.03,567/  0%ile,85.54
@BZV,20,24,28,230825,2.23,570/  0%ile,84.48
@BZX,19,23,28,230825,20.22,579/  8%ile,83.95
@BZZ,18,22,27,230825,23.46,598/  3%ile,83.56
@CCH,17,19,16,230825,22.42,588/ 13%ile,3477.00
@CCK,17,18,21,230825,23.37,588/ 25%ile,3466.00
@CCN,24,22,19,230825,21.74,591/  4%ile,3454.00
