update,symbol,hv20,hv50,hv100,date,cur_iv,days_percentile,close
2024-09-22,$BKX,25,25,368,240404,38.21,264/ 80%ile,114.96
2024-09-22,$DJX,11,14,12,240920,13.68,574/ 24%ile,420.63
2024-09-22,$HGX,28,31,27,240920,32.67,286/ 46%ile,812.59
2024-09-22,$OEX,17,19,16,231213,11.68,25/  4%ile,2742.10
2024-09-22,$SPX,15,18,14,240920,16.13,600/ 44%ile,5702.55
2024-09-22,$VIX,164,207,154,240920,86.05,600/ 69%ile,16.15
2024-09-22,$XDA,10,8,8,240920,10.57,563/ 29%ile,68.07
2024-09-22,$XDB,8,7,6,240917,7.17,466/  8%ile,133.15
2024-09-22,$XDC,4.3,3.8,4.2,240920,6.96,572/ 34%ile,73.67
2024-09-22,$XDE,7,6,6,240920,9.38,581/ 38%ile,111.58
2024-09-22,$XDN,16,14,12,240920,19.42,582/ 87%ile,69.44
2024-09-22,$XDS,8,8,8,240920,14.27,578/ 72%ile,117.54
2024-09-22,$XDZ,11,9,9,240920,10.54,429/ 47%ile,62.38
2024-09-22,$XSP,15,18,14,240920,13.67,595/ 30%ile,570.20
2024-09-22,@BOF,32,28,27,240920,27.55,588/ 37%ile,41.37
2024-09-22,@BOH,30,27,26,240920,27.22,590/ 31%ile,41.50
2024-09-22,@BOK,29,26,27,240920,26.17,588/  7%ile,41.75
2024-09-22,@BON,28,35,33,240920,25.76,591/  4%ile,41.91
2024-09-22,@BOQ,26,25,27,240920,26.41,588/  9%ile,41.84
2024-09-22,@BOU,29,26,28,240816,34.18,588/ 82%ile,40.44
2024-09-22,@BOV,32,29,28,240913,30.49,584/ 59%ile,41.75
2024-09-22,@BOZ,33,29,28,240920,30.02,594/ 57%ile,41.36
2024-09-22,@BZF,30,27,23,240920,47.91,597/ 92%ile,73.19
2024-09-22,@BZG,30,26,22,240920,44.50,580/ 91%ile,72.88
2024-09-22,@BZH,29,26,22,240920,41.55,591/ 80%ile,72.69
2024-09-22,@BZJ,28,25,23,240308,17.32,577/  7%ile,83.56
2024-09-22,@BZK,28,25,30,240920,35.00,581/ 59%ile,72.45
2024-09-22,@BZM,27,24,24,240509,74.96,514/100%ile,87.89
2024-09-22,@BZN,27,26,22,240611,89.31,497/ 99%ile,81.61
2024-09-22,@BZQ,70,47,35,240709,5.23,597/  1%ile,86.40
2024-09-22,@BZV,20,25,22,240910,44.41,580/ 87%ile,78.77
2024-09-22,@BZX,33,29,24,240920,68.36,580/ 96%ile,74.49
2024-09-22,@BZZ,31,28,23,240920,55.80,598/ 96%ile,73.69
2024-09-22,@CCH,42,53,72,240920,44.53,588/ 81%ile,6206.00
2024-09-22,@CCK,37,46,78,240920,41.02,588/ 83%ile,5863.00
2024-09-22,@CCN,34,93,94,240920,38.27,590/ 82%ile,5625.00
2024-09-22,@CCU,31,61,80,240726,75.22,588/ 94%ile,7562.00
2024-09-22,@CCZ,50,62,79,240920,50.79,592/ 80%ile,7658.00
2024-09-22,@CH,16,18,18,240920,17.30,590/  3%ile,420.00
2024-09-22,@CK,15,17,20,240920,17.60,588/  0%ile,431.00
2024-09-22,@CLF,32,29,24,240920,29.61,592/ 29%ile,69.49
2024-09-22,@CLG,31,28,23,240920,28.60,590/ 25%ile,69.10
2024-09-22,@CLH,31,27,23,240920,28.83,588/ 21%ile,68.84
2024-09-22,@CLJ,30,27,28,240920,35.75,588/ 50%ile,68.65
2024-09-22,@CLK,29,26,31,240920,32.11,588/ 35%ile,68.49
2024-09-22,@CLM,29,25,21,240920,28.81,588/ 17%ile,68.33
2024-09-22,@CLN,28,38,30,240920,29.30,589/ 22%ile,68.14
2024-09-22,@CLQ,65,42,33,240920,34.75,588/ 43%ile,67.96
2024-09-22,@CLU,0.0,24,22,240808,35.35,588/ 44%ile,76.98
2024-09-22,@CLV,38,33,27,240910,38.23,588/ 59%ile,70.09
2024-09-22,@CLX,36,31,26,240920,29.14,592/ 28%ile,71.00
2024-09-22,@CLZ,34,30,25,240920,29.58,592/ 26%ile,70.10
2024-09-22,@CN,14,22,23,240920,18.72,591/  1%ile,437.80
2024-09-22,@CTH,25,21,21,240920,21.85,588/ 34%ile,75.14
2024-09-22,@CTK,23,19,20,240920,21.00,588/ 17%ile,76.16
2024-09-22,@CTN,21,22,29,240920,20.86,587/ 15%ile,76.61
2024-09-22,@CTV,28,25,25,240906,30.85,590/ 63%ile,70.05
2024-09-22,@CTZ,27,22,22,240920,24.11,592/ 43%ile,73.52
2024-09-22,@CU,18,21,21,240816,22.62,588/  7%ile,371.50
2024-09-22,@CZ,17,19,20,240920,18.07,594/  0%ile,401.80
2024-09-22,@DXH,5,6,5,240920,6.90,588/ 40%ile,100.19
2024-09-22,@DXM,5,6,5,240920,6.76,589/ 28%ile,99.85
2024-09-22,@DXU,5,6,5,240830,6.00,591/  9%ile,101.07
2024-09-22,@DXZ,5,6,5,240920,6.94,592/ 39%ile,100.42
2024-09-22,@ESH,15,18,14,240920,13.05,592/ 27%ile,5812.25
2024-09-22,@ESM,14,18,16,240920,12.57,589/ 19%ile,5853.00
2024-09-22,@ESU,15,18,14,240913,12.29,588/ 22%ile,5717.75
2024-09-22,@ESZ,15,18,14,240920,12.87,592/ 25%ile,5762.00
